time,passengers
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,2
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,2
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,1
156,0
157,0
158,2
159,0
160,1
161,3
162,2
163,2
164,1
165,1
166,3
167,0
168,2
169,1
170,6
171,4
172,0
173,4
174,9
175,10
176,9
177,7
178,2
179,9
180,8
181,16
182,8
183,6
184,14
185,10
186,12
187,6
188,8
189,10
190,10
191,10
192,9
193,7
194,15
195,8
196,10
197,10
198,4
199,7
200,5
201,7
202,8
203,7
204,5
205,6
206,5
207,5
208,6
209,8
210,10
211,6
212,4
213,4
214,7
215,5
216,6
217,6
218,6
219,5
220,4
221,4
222,4
223,4
224,9
225,3
226,3
227,4
228,7
229,5
230,6
231,4
232,1
233,2
234,4
235,6
236,5
237,2
238,4
239,0
240,6
241,2
242,7
243,4
244,4
245,2
246,2
247,1
248,1
249,2
250,2
251,1
252,1
253,2
254,5
255,1
256,2
257,2
258,0
259,4
260,7
261,2
262,3
263,0
264,4
265,4
266,1
267,1
268,2
269,0
270,1
271,1
272,0
273,3
274,1
275,0
276,0
277,1
278,0
279,2
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,1
